type,id,en_description,zh_description
Sentence,s224,"Because exposure to non-ASA NSAIDs was assessed only once, assessment was by self-report, and there is no information on dose or duration of use, the certainty of this single study must be rated low",该研究中，非阿司匹林的非甾体类抗炎药暴露史经通过自我报告评估一次，同时缺少用药剂量和用药时间的信息，故该单项研究的可靠性相对较低
Sentence,s225,"Based on fair evidence, a diet low in fat and meat and high in fiber, fruits, and vegetables started as an adult does not reduce the risk of CRC by a clinically important degree",证据一般：成人低脂、少肉、高纤维、多果蔬饮食对结直肠癌发病风险的作用并不具有临床意义
Sentence,s226,"The risk of CRC begins to increase after the age of 40 years and rises sharply at ages 50 to 55 years; the risk doubles with each succeeding decade, and continues to rise exponentially",结直肠癌发病风险从40岁开始升高，在50-55岁之间急剧升高；此后每10年风险加倍，呈指数级升高
Sentence,s227,"The time to detection of a first adenoma was longer in the ASA group than in the placebo group (HR for the detection of a new polyp, 0.54; 95% CI, 0.43–0.94, P = .022)",水杨酸组首个腺瘤的检出时间长于安慰剂组（检测出新息肉的HR为0.54；95%CI，0.43-0.94，P=0.022）
Sentence,s228,"The number of CRC deaths in the combined group was higher than in the placebo group (37 vs 27 deaths), but the difference was not statistically significant (HR = 1 .29; 95% CI, 0.78–2.11)",且联合组结直肠癌死亡人数大于安慰剂组（分别37例与27例），但该差异无统计学意义（HR=1.29；95%CI，0.78-2.11）
Sentence,s229,"Based on solid evidence, harms of NSAID use are relatively common and potentially serious, and include upper gastrointestinal bleeding, chronic kidney disease, and serious cardiovascular events such as myocardial infarction, heart failure, and hemorrhagic stroke",证据充分：使用非甾体类抗炎药的不良反应较为常见且可能较严重，包括上消化道出血、慢性肾脏疾病，以及严重心血管事件，如心肌梗死、心力衰竭和出血性卒中等
Sentence,s230,Patients in the NPS were assigned to colonoscopy at years 1 and 3; colonoscopy was also offered to one of the two comparison groups at year 1; all participants were offered colonoscopy at year 6,NPS患者在第1、3年接受结肠镜检查，2个对照组中1个对照组在第1年接受结肠镜检查，所有参与者第6年均接受结肠镜检查
Sentence,s231,"The inverse association with fiber was observed in 12 of the 13 studies and was similar in magnitude for left-sided and right-sided colon and rectal cancers, in men and women, and in different age groups",13项研究中12项研究观察到负相关性，且与左半结肠癌、右半结肠癌、直肠癌的关联程度相似，无性别、年龄差异
Sentence,s232,"Although adjustments were attempted, it is not possible to know the magnitude of the impact of this problem on the result because it is not known how long CRC may be present without causing symptoms",尽管研究人员对数据进行了调整，但结直肠癌临床前期时间不明确，因此无法确定该问题对结果的影响大小
Sentence,s233,"However, the degree of reduction must be viewed with caution because this study did not have a direct comparison group, relying mainly on comparison to expected data from the Surveillance, Epidemiology and End Results Program",但该研究并无设置直接对照组，主要通过与医疗保险监督、流行病学和最终结果（SEER）数据库的预期数据进行比较，因此需慎重对待死亡率降低结果
Sentence,s234,"Based on solid evidence, daily aspirin (acetylsalicylic acid [ASA]) for at least 5 years reduces CRC incidence and mortality. This is based on two reports of extended follow-up of two RCTs and meta-analysis of observational studies",根据2项RCT延期随访研究和1项基于观察性研究的荟萃分析显示，持续每日服用阿司匹林（乙酰水杨酸）至少5年能降低结直肠癌的发病率和死亡率
Sentence,s235,"Whereas previously reported meta-analyses of randomized trials of daily aspirin use demonstrated a reduction in colon cancer incidence with extended follow-up, these findings from the WHS demonstrate a similar effect from aspirin taken every other day",对曾有每日服用阿司匹林的随机临床试验荟萃分析报道，延长随访期内结肠癌发病率有所降低，这与WHS隔日服用阿司匹林试验的结果相似
Sentence,s236,"Perhaps the most definitive analysis to date is a prospective study that examined dietary intake data based on food frequency questionnaires from 88,764 women in the NHS and 47,325 men in the Health Professionals Follow-up Study","迄今最为明确的研究是一项前瞻性研究，该研究中饮食摄入数据来自于NHS中88,764例女性和健康专家随访研究中47,325例男性填写的饮食频率问卷"
Sentence,s237,"A long-term follow-up study (median follow-up, 15.8 years; maximum, 23 years) of the NPS cohort suggested an approximately 53% reduction in CRC mortality due to polypectomy (not just exclusion of persons with CRC at initial exam)",NPS队列长期随访研究（中位随访15.8年；最长23年）发现息肉切除术可降低53%的结直肠癌死亡率（排除包括初次检查发现的结直肠癌患者）
Sentence,s238,"NSAIDs include not only aspirin (ASA, which is considered separately here) and other, first-generation nonselective inhibitors of the two functional isoforms of COX, termed COX-1 and COX-2, but also newer second-generation drugs that inhibit primarily COX-2",非甾体类抗炎药药物，不仅包括阿司匹林，还包括非选择性COX一代抑制剂（抑制COX的两种功能性异构体COX-1与COX-2）和COX2的二代抑制剂
Sentence,s239,"Thus, it is unclear what the overall impact of endoscopy (e.g., colonoscopy screening) is, and whether there may be a large difference in impact on the left side of the colon compared with the right side",即目前内镜检查（例如结肠镜筛查）的整体作用以及对左半结肠和右半结肠作用是否存在较大差异尚不明确
Sentence,s240,"In a follow-up of 10 years, the left-sided CRC incidence in the low-risk group (about 95% of attendees were low risk) was 0.02% to 0.04% per year—a very low risk of CRC compared with average risk",随访10年发现，低危人群组（约95%的参与者属于低危人群）的左半部结肠癌年均发病率约为0.02%-0.04%，与平均风险人群相比结直肠癌发病风险极低
Sentence,s241,"It is expected that further follow-up in the United Kingdom Flexible Sigmoidoscopy Screening Trial will be able to provide more detail about the long-term effect of polypectomy, at least on the left side of the colon",我们希望英国软式乙状结肠镜筛查试验的进一步随访能够为息肉切除术的长期作用提供更多信息，至少对左半结肠的长期作用
Sentence,s242,This study may be biased in several ways that inflate the apparent efficacy of polyp removal; the main problem is that potential enrollees in the NPS were excluded if they had CRC at their baseline examination,但该研究可能存在一些偏倚，高估息肉切除的作用
Sentence,s243,"As a result of the strong data about the impact of endoscopy on the left colon, evidence from multiple studies has raised questions about the ability of endoscopy to reduce CRC mortality in the right colon",已有大量证据证实内镜在左半结肠的积极作用，但内镜检查能否降低右半结肠癌死亡率尚存疑问
Sentence,s244,"In addition, some epidemiological studies have reported lower incidence rates of colon cancer in populations with high intakes of both fat and fiber, compared with populations with high levels of fat but low levels of fiber consumption",一些流行病学研究已经发现，高脂高纤维饮食人群的结肠癌发病率低于高脂低纤维饮食人群
Sentence,s245,"Six RCTs, including five from the United Kingdom, were included in a meta-analysis in which patients were randomly assigned to receive either aspirin or placebo and mean scheduled duration of trial treatment was 4 years or more",一项荟萃分析共纳入6项RCT，其中5项来自于英国人群，这些研究中患者被随机分配到阿司匹林组或安慰剂组，平均治疗时间≥4年
Sentence,s246,"A modest decrease in risk was found for both developing at least one recurrent adenoma (adjusted risk ratio [ARR] = 0.81; 95% CI, 0.67–0.99) and in the average number of adenomas (ARR = 0.76; 95% CI, 0.60–0.96)",该研究发现初次和第二次内镜检查出现至少1个腺瘤复发风险（调整相对风险[ARR]=0.81；95%CI，0.67-0.99）与平均腺瘤数目（ARR=0.76；95%CI，0.60-0.96）都轻度降低
Sentence,s247,"In a report from the Health Professionals Follow-up Study of 47,000 males, regular use of ASA (at least 2 times per week) was associated with a 30% overall reduction in CRC, including a 50% reduction in advanced cases","“健康专家随访研究”共有47,000例男性入组，该研究发现常规服用水杨酸（每周至少2次）可降低30%结直肠癌发病，其中晚期发病可降低50%"
Sentence,s248,"Based on meta-analysis of ORs from each trial rather than on more sensitive actuarial analysis of the individual patient data, allocation to aspirin in the RCTs reduced the 20-year risk of death due to colorectal (and esophageal) cancer",根据各项试验比值比（OR）荟萃分析，而非考虑更为敏感的患者个例数据实际分析，发现RCT中阿司匹林组20年结直肠癌（与食管癌）死亡风险降低
Sentence,s249,"Magnitude of Effect: The estimated average excess risk of upper gastrointestinal complications is 10 to 30 per 1,000 people for a period of 10 years, on the higher end for men and on the lower end for women","效应强度：上消化道并发症的平均超额风险大约为每1,000人中10年内会有10-30例并发症出现，男性风险高于女性"
Sentence,s250,"A prospective study among female nurses showed an increased risk of colon cancer associated with red meat consumption (beef, pork, lamb, and processed meat) and also with the intake of saturated and monounsaturated fat, predominantly derived from animals",在女性护士中进行的一项前瞻性研究发现，结肠癌风险升高与红肉（牛肉、猪肉、羊肉、加工肉制品）摄入相关，也与主要来源于动物的饱和脂肪酸与单不饱和脂肪酸的摄入相关
Sentence,s251,"Ingestion of fiber could modify carcinogenesis in the large bowel by a number of potential mechanisms. These mechanisms include binding to bile acids, increasing fecal water and possibly diluting carcinogens, and decreasing transit time (not an obvious factor)",纤维摄入可通过多种机制参与改变大肠癌变过程，包括与胆汁酸结合、增加粪便含水量、稀释致癌原、减少食物通过时间（非主要因素）
Sentence,s252,"In addition, the conclusion about very low amounts of intake of fruits and vegetables is based on a retrospective subdivision of the lowest quartile of consumption, and its strength has not been adjusted for other potential confounding factors",同时，果蔬摄入量极低人群的得出结论主要基于最低四分位数摄入人群的回顾性研究，未校正其他混杂因素
Sentence,s253,"A population-based case-control study in Sweden, however, found no evidence of increased risk associated with total HCA intake; for colon cancer the RR was 0.6 (95% CI, 0.4–1.0), and for rectal cancer it was 0.7 (95% CI, 0.4–1.1)",一项在瑞典人群中进行的病例对照研究发现，结直肠癌风险与总HCA摄入并不相关，结肠癌的RR为0.6（95%CI，0.4-1.0），直肠癌的RR为0.7（95%CI，0.4-1.1）
Sentence,s254,"For women and men combined, the covariate-adjusted RR of colon cancer associated with one additional serving of fruits and vegetables per day was 1.02 (95% CI, 0.98–1.05); the comparable RR for rectal cancer was 1.02 (95% CI, 0.95–1.09)",综合考虑男性与女性参与者，每天多摄入一份蔬菜与水果后的协变量校正结肠癌的RR为1.02（95%CI，0.98-1.05），直肠癌的RR为1.02（95%CI，0.95-1.09）
Sentence,s255,It has been hypothesized that the heterocyclic amines (HCAs) formed when meat and fish are cooked at high temperatures may contribute to the increased risk of CRCs associated with meat consumption that has been observed in epidemiologic studies,有假说认为高温烹调肉类与鱼类所产生的杂环胺（HCA）可能是导致上述相关性的原因
Sentence,s256,"Other evidence about the benefit of sigmoidoscopy screening (at which time both polyps and early cancer would be removed) suggests that the impact of endoscopic screening, at least on the left side of the colon, is substantial and prolonged",有研究表明乙状结肠镜筛查（应在息肉和早期癌变已经切除后进行）至少对左半结肠能带来长期明显益处
Sentence,s257,"In a prospective cohort study of a low-risk population, an inverse association was found with legume intake and the risk of CRC (RR for &gt;2 times/week vs 1 time/week = 0.53 [95% CI, 0.33–0.86; P for trend = .03])",在低危人群中进行的一项前瞻性队列研究发现结直肠癌风险与豆类摄入呈负相关（每周摄入＞2次与每周摄入1次相比，RR=0.53[95% CI，0.33-0.86；趋势P值=0.03]）
Sentence,s258,"Based on sigmoidoscopy findings, persons were considered to have low risk if they had normal exams or only one or two small (&lt;1 cm) tubular adenomas; such persons were not referred either for colonoscopy workup, or for colonoscopic surveillance",乙状结肠镜检结果为正常或仅有1-2个小（＜1 cm）管状腺瘤，则认为对象属于低危人群，且不再接受结肠镜检查或结肠镜监测
Sentence,s259,"The Nurses’ Health Study found that women with a body mass index (BMI) of more than 29, compared with women with a BMI of less than 21, had an adjusted RR for CRC incidence of 1.45 (95% CI ,1.02–2.07)",“护士健康研究”发现体重指数（BMI）大于29的女性与BMI低于21的女性相比，结直肠癌调发病调整RR值值为1.45（95%CI，1.02-2.07）
Sentence,s260,"Magnitude of Effect: The WHI showed a 26% increase in invasive breast cancer in the combined hormone group, a 29% increase in coronary heart disease events, a 41% increase in stroke rates, and a twofold higher rate of thromboembolic events",效应强度：WHI显示联合激素治疗组的侵袭性乳腺癌事件风险增加26%，冠心病事件风险增加29%，卒中事件风险增加41%，血栓栓塞性疾病事件风险增加2倍之高
Sentence,s261,"Normally, COX-1 is expressed in most tissues and primarily plays a housekeeping role (e.g., gastrointestinal mucosal protection and platelet aggregation)；COX-2 activity is crucial in stress responses and in mediating and propagating the pain and inflammation that are characteristic of arthritis",COX-1可在多种组织中表达，发挥管家作用（即保护消化道粘膜和促进血小板聚集）；COX-2在应激反应中发挥作用，同时介导并扩散疾病的疼痛与炎症，如关节炎
Sentence,s262,"The relatively short duration of follow-up, considering the latency period of CRC of 10 to 15 years and suboptimal doses of calcium and vitamin D, may account for the negative effects of this trial, though other factors may also be responsible",随访时间较短，结直肠癌发展时间需10-15年，且研究所用钙剂与维生素D剂量较低，可能与本研究的阴性结果有关，当然不能排除其它因素
Sentence,s263,"In a prospective cohort study of 35,215 women in the IWHS, an inverse association between the risk of colon cancer and vitamin E intake was found; the RR for the highest compared with the lowest quartile was 0.3 (95% CI, 0.19–0.54)","一项纳入参与了IWHS的35,215例女性的前瞻性队列研究发现，结肠癌风险与维生素E摄入呈负相关性，维生素E摄入量最高四分位数人群与最低四分位数人群相比，结肠癌发病RR为0.3（95%CI，0.19-0.54）"
Sentence,s264,"In Utah, an inverse relationship between colon cancer and calcium was observed in a study that compared members of the Church of Jesus Christ of Latter-Day Saints (Mormons) and Seventh Day Adventists with a group from the U.S. population at large",在美国犹他州，一项研究比较耶稣基督后期圣徒教会教徒（摩门教徒）、基督复临安息日会教徒、美国普通民众（对照组）三组人群，发现结肠癌风险与钙剂补充存在负相关性
Sentence,s265,"An analysis of data from the National Polyp Study (NPS), with external, historical controls, has commonly been cited to show a reduction of 76% to 90% in the subsequent incidence of CRC after colonoscopic polypectomy compared with three nonconcurrent, historical control groups",源自一项包含外部对照和历史对照的美国全国息肉研究（NPS）的数据曾被多次引用说明，与3个历史对照组相比，结肠镜下息肉切除术后结直肠癌发病率降低76%-90%
Sentence,s266,"CRC incidence was not decreased among women who had taken estrogens; after a median of 7.1 years of follow-up, 58 invasive cancers occurred in the estrogen arm compared with 53 invasive cancers in the placebo arm (HR = 1.12; 95% CI, 0.77–1.63)",研究发现雌激素服用女性的结直肠癌发病率并没有不降低，中位随访7.1年后，雌激素组新发58例侵袭性癌症，而安慰剂组新发53例侵袭性癌症（HR=1.12；95%CI，0.77-1.63）
Sentence,s267,"Consistency: Poor; the RCT with CRC as an outcome found no reduction in CRC incidence, while prospective cohort studies found a reduction in CRC incidence between high and low calcium groups; three RCTs found a reduction in adenoma recurrence with calcium supplementation",一致性：较差，以结直肠癌发病率为结局指标的RCT未发现结直肠癌发病率降低，但前瞻性队列研究发现与低钙组相比，高钙组的结直肠癌发病率降低，3项RCT发现钙剂补充后腺瘤复发率降低
Sentence,s268,"In 17 studies with data on CRC mortality, cigarette smoking was associated with CRC death, with a RR (ever smokers vs. never smokers) of 1.25 (95% CI, 1.14–1.37), and an absolute increase in the death rate of 6.0 deaths per 100,000 person-years",另一项综合17项结直肠癌死亡率相关研究，发现结直肠癌死亡与吸烟和具有相关性，与从不吸烟者相比，曾吸烟者死亡RR为1.25（95%CI，1.14-1.37），死亡率绝对增加6.0/10万人年
Sentence,s269,"In a report from the Nurses’ Health Study involving 82,911 women followed for 20 years, the multivariate RR for colon cancer was 0.77 (95% CI, 0.67–0.88) among women who regularly used ASA (≥2 standard 325-mg tablets per week) compared with nonregular use","“护士健康研究”对82,911例女性随访20年，该研究的一项报告发现常规服用水杨酸（每周≥2片标准325 mg片剂）的女性与不常规用药者相比，结肠癌发病多因素RR为0.77（95%CI，0.67-0.88）"
Sentence,s270,"One study used a supplement of 10 g/day of wheat bran, cellulose, and oat bran and found a decreased mutagenic activity of fecal contents in those receiving wheat bran and cellulose supplementation, although no measurable inhibition was observed during oat bran supplementation",一项研究中参与者每天补充10g麦麸、纤维素和燕麦后，麦麸与纤维素组参与者粪便中的致癌物活性降低，但燕麦组没有变化
Sentence,s271,"In addition, a network meta-analysis of all large scale randomized, controlled trials (RCTs) comparing any NSAID to any other NSAID or placebo found that there is little evidence to suggest that any of the investigated drugs are safe in terms of cardiovascular effects",此外，对在不同非甾体类抗炎药间，或者非甾体类抗炎药与安慰剂之间进行研究的大规模RCT行网络荟萃分析，提示所有非甾体类抗炎药都可造成心血管不良事件
Sentence,s272,"The study was limited to individuals with a recent history of colorectal adenomas and could not determine the effect of calcium on risk of the first adenoma, nor was it large enough or of sufficient duration to examine the risk of invasive CRC",由于该研究仅纳入结直肠腺瘤病史的患者，故无法判断钙剂对初诊腺瘤的影响，该研究规模或持续时间尚不足以评估侵袭性结直肠癌的风险
Sentence,s273,"Calculated from the beginning of the intervention period through the extended follow-up (median, 18 years) an overall reduction in CRC incidence was observed for the WHS (HR = 0.80; 95% CI, 0.67–0.97; P = .021; P = .012 intervention period versus extended follow-up)",从干预开始到延长随访时间结束（中位数18年），WHS试验观察到结直肠癌发病率整体下降（HR=0.80；95%CI，0.67-0.97；P=0.021；干预期和延长随访期相比，P=0.012）
Sentence,s274,"A meta-analysis of 106 observational studies found a RR (ever smokers compared with nonsmokers) for CRC incidence of 1.18 (95% CI, 1.11–1.25), with an absolute risk increase of 10.8 cases per 100,000 person-years (95% CI, 7.9–13.6). There was a statistically significant dose-response effect",对106项观察性研究荟萃分析后发现，与不吸烟人群相比，吸烟人群结直肠癌发病相对风险为1.18（95%CI，1.11-1.25），绝对风险增加10.8/10万人年（95%CI，7.9-13.6），且发病与吸烟城剂量反应关系
Sentence,s275,"Results did not change when data were examined by vitamin use status, smoking status, or family history of CRC, nor were elevated risks seen when individuals with very low levels of fruit and vegetable consumption were compared with those having the highest levels",对维生素服用情况、吸烟史、结直肠癌家族史进行分析，也未发现结果变化，蔬果摄入量最低人群与最高人群相比，结直肠癌风险并不升高
Sentence,s276,"In the Physicians’ Health Study, 22,000 men aged 40 to 84 years were randomly assigned to receive placebo or ASA (325 mg every other day) for 5 years. There was no reduction in invasive cancers or adenomas at a median follow-up of 4.5 years","“医师健康研究”中，22,000例40-84岁男性被随机分配等到安慰剂组或水杨酸组（隔日325mg水杨酸），该研究进行了5年，中位随访时间为4.5年，发现侵袭性癌症或腺瘤发病率并未降低"
Sentence,s277,"For advanced neoplasms (adenomas measuring at least 10.0 mm in diameter or with tubulovillous or villous features, severe dysplasia, or invasive cancer), the RRs were 0.59 (95% CI, 0.38–0.92) in the 81-mg ASA group, and 0.83 (95% CI, 0.55–1.23) in the 325-mg ASA group",对于晚期肿瘤（腺瘤直径至少10.0 mm，或伴绒毛管状或绒毛状特征，或侵袭性癌），81 mg水杨酸组的RR为0.59（95%CI，0.38-0.92），325 mg水杨酸组的RR为0.83（95%CI，0.55-1.23）
Sentence,s278,"The results suggested that a daily intake of 1,000 IU of vitamin D—half the safe upper limit for intake established by the National Academy of Sciences—and a concentration of serum 25-hydroxyvitamin D of 33 ng/mL were each associated with a 50% lower risk of CRC","结果提示每日服用1,000 IU维生素D（美国国家科学院公布的安全摄入上限值的一半）和血清25-羟维生素D浓度为33 ng/mL能降低50%CRC发生风险"
Sentence,s279,"A large population-based cohort study of Swedish twins found that heavy smoking of 35 or more years' duration was associated with a nearly threefold increased risk of developing colon cancer, though subsite analysis found a statistically significant effect only for rectal but not colon cancer",一项在瑞典双生儿中开展的大规模队列研究发现，烟龄35年以上可使结肠癌发病风险增加2倍，对发病部位进行分层后，吸烟仅增加直肠癌发病风险，对结肠癌没有左右
Sentence,s280,"In the Women's Health Study (WHS), a randomized 2 x 2 factorial trial of 100 mg of ASA every other day for an average of 10 years, similar rates of breast, colorectal, or other site-specific cancers were observed in both the ASA and placebo arms",“女性健康研究”（WHS）是一项2x2因素设计的随机试验研究，实验组患者每2日服用100 mg 水杨酸，平均服药10年，发现水杨酸组与安慰剂组的乳腺癌、结直肠癌或其他部位癌症的发病率接近
Sentence,s281,"ORs for maximum aspirin use were 0.55 for colorectal cancer risk (95% CI, 0.41–0.76) and 0.47 for esophageal cancer risk (95% CI, 0.27–0.81) and for any aspirin use were 0.58 for colorectal cancer risk (95% CI, 0.44–0.78) and 0.51 for esophageal cancer (95% CI, 0.31–0.83)","最大剂量阿司匹林使用组结直肠癌死亡风险OR为0.55（95%CI，0.41–0.76），食管癌死亡风险OR为0.57（95% CI，0.27–0.81），合计阿司匹林使用组的结直肠癌风险OR为0.58（95% CI，0.44–0.78），食管癌风险OR为0.51（95% CI, 0.31–0.83）"
Sentence,s282,"In the report from all four RCTs, the 20-year risk of death due to CRC in trials that allocated ASA for at least 5 years was reduced by about 40% (HR = 0.60; 95% CI, 0.45–0.81), absolute risk reduction was from about 3.1% to 1.9%",汇总4项RCT的报道显示，在持续用药至少5年的阿司匹林组中，结直肠癌引起的20年死亡风险减少了约40％（HR＝0.60；95％CI，0.45-0.81），绝对危险降低值从约3.1%降至1.9％
Sentence,s283,"The analysis excluded participants who had a history of cancer in the baseline year or whose records contained incomplete information on aspirin use or smoking, and was based on follow-up questionnaires mailed to participants in 1997 (the baseline year for the analysis), 1999, 2001, and 2003",研究排除标准为：1997年（基线年）调查既往癌症病史者；1999、2001与2003年邮寄的随访问卷中阿司匹林服用、吸烟状况信息缺失者
Sentence,s284,"In the Cancer Prevention Study II (CPS II), a large nationwide cohort study, multivariate-adjusted CRC mortality rates were highest among current smokers, intermediate among former smokers, and lowest in nonsmokers, with increased risk observed after 20 or more years of smoking in men and women combined",癌症预防研究II（CPS II）是一项大型全国队列研究，该研究发现，多变量调整结直肠癌死亡率现吸烟者最高，曾吸烟者居中，不吸烟者最低。男性与女性全人群中，有至少20年吸烟史者风险增高
Sentence,s285,"However, among women who voluntarily participated in extended follow-up (N = 33,682; 16,913 from the intervention group and 16,769 from the placebo group), there was a significant reduction in CRC incidence (HR = 0.58; 95% CI, 0.42–0.8, P &lt; .001) with a median follow-up of 8 years","但对自愿参加延长随访的女性人群（N=33,682；干预组16,913例，安慰剂组15,769例）进行长达8年（中位随访时间）随访，观察到结直肠癌发病率的显著降低（HR= 0.58；95% CI，0.42–0.8，P<0.001）"
Sentence,s286,"In the CPS II , men and women with a BMI of 30 to 34.9 had an adjusted RR for CRC mortality (compared with people with a BMI of 18.5–24.9) of 1.47 (95% CI, 1.30–1.66), with a statistically significant dose-response effect. The effects were similar in men and women",CPSII研究中，BMI为30-34.9的男性与女性的结直肠癌死亡调整RR值（与BMI为18.5-24.9的人相比）为1.47（95%CI，1.30-1.66），且死亡与BMI之间存在剂量反应关系，但无性别差异
Sentence,s287,"In a randomized, double-blind, placebo-controlled trial involving 36,282 postmenopausal women, the administration of 500 mg of elemental calcium and 200 IU of vitamin D3 twice daily for an average of 7.0 years was not associated with a reduction in invasive CRC (HR = 1.08; 95% CI, 0.86–1.34; P = .051)","一项随机双盲安慰剂照试验共纳入36,282例绝经后女性，该研究发现每日2次补充500 mg元素钙与200 IU维生素D3平均持续7年未能降低侵袭性结直肠癌发生风险（HR=1.08；95%CI，0.86-1.34；P=0.051）"
Sentence,s288,"In people without genetic predisposition but with a prior history of a colonic adenoma that had been removed, three randomized controlled trials (RCT) found that celecoxib and rofecoxib decrease the incidence of recurrent adenoma, although follow-up was too short to determine whether the incidence of CRC would have been affected",三项随机对照试验（RCT）在没有遗传易感性但有结肠腺瘤切除病史的人群中发现，塞来考昔和罗非考昔能降低腺瘤的复发率，但由于随访时间过短尚不能明确塞来考昔和罗非考昔是否能降低结直肠癌的发病率
Sentence,s289,"These include a paucity of knowledge about the proper dose and duration for these agents, and concern about whether the potential preventive benefits such as a reduction in the frequency or intensity of screening or surveillance could counterbalance long-term risks such as gastrointestinal ulceration and hemorrhagic stroke for the average-risk individual",存在的问题包括药物的最佳剂量和使用时间尚不明确，同时对预防措施潜在的获益有所担心，如以降低筛查/监测频率或强度的获益能否抵消个体的长期风险，例如胃肠道溃疡和出血性卒中发生风险
Sentence,s290,"A large cohort study (301,240 people with 3,894 colorectal cancer cases) published after this systematic review found an association between weekly or daily ASA use and reduced 10-year incidence of distal and rectal (but not proximal) colorectal cancer, with an HR of 0.76 (95% CI, 0.64–0.90) for rectal cancer for daily use","继该系统综述之后发表的一项大型队列研究（301,240例观察对象，3,894例结直肠癌患者）发现，每周或每日水杨酸用药与远端结肠癌及直肠癌（但非近端结肠）的10年发病率降低有关，每日用药后直肠癌的风险比为0.76（95%CI，0.64-0.90）"
Sentence,s291,"In a population-based prospective cohort study of 61,463 women in Sweden, individuals who consumed very low amounts of fruits and vegetables (&lt;1.5 servings of fruit and vegetables/day) had a RR for developing CRC of 1.65 (95% CI, 1.23–2.2; P trend = .001) as compared with those individuals who consumed more than 2.5 servings","瑞典一项基于人群的前瞻性队列研究共纳入61,463例女性，果蔬摄入量极低人群（每天＜1.5份果蔬）较每天摄入超过2.5份果蔬人群相比，发生结直肠癌的相对风险为1.65（95%CI，1.23-2.2；趋势P值=0.001）"
Sentence,s292,"In a prospective cohort study of a low-risk population of non-Hispanic white members of the Adventist Health Study, a positive association between meat (both red and white) intake and colon cancer was observed (RR for ≥1 time per week vs. no meat intake = 1.85, 95% CI, 1.19–2.87, P for trend = .01)",对非西班牙裔白人基督复临论人群进行的一项前瞻性队列健康研究，发现结肠癌发生风险与肉类（红肉与白肉）摄入量存在正相关（每周≥1次摄入肉类与完全不摄入肉类相比，RR=1.85；95%CI，1.19-2.87，趋势P值=0.01）
Sentence,s293,"Associations were not observed when the data were examined for subgroups of fruits or vegetables (with the exception of legumes, which were associated with an increased risk of colon cancer in women) or individual fruits or vegetables (with the exception of prunes, which were associated with an increased risk of colon cancer in men)",对水果或蔬菜摄入子集（不包括豆类，已知豆类与女性结肠癌风险增加相关）或个人蔬菜或水果摄入量（不包括西梅，已知西梅与男性结肠癌风险增加相关）进行分析，也未发现相关性
Sentence,s294,"In a study of 1,121 patients with a recent history of colorectal adenomas, after a mean duration of treatment of 33 months, the unadjusted RRs of any adenoma (as compared with the placebo group) were 0.81 in the 81-mg ASA group (95% CI, 0.69–0.96) and 0.96 in the 325-mg ASA group (95% CI, 0.81–1.13)","对近期患结直肠腺瘤的1,121例患者进行研究，平均治疗时间持续33个月，81 mg水杨酸组中任何分期腺瘤的非调整RR值为0.81（与安慰剂组相比），325 mg水杨酸组任何分期腺瘤的非校正RR为0.96（95%CI，0.81-1.13）"
Sentence,s295,"The 2007 analysis reported on two RCTs with reliable follow-up of more than 20 years. This report found that the use of 300 mg or more of ASA per day for at least 5 years reduced the incidence of CRC after a latency of 10 years (RR at 10–19 years [0.60; 95% CI, 0.42-0.87])",2007年分析报道了2项随访时间超过20年的可靠RCT，该报告发现每日使用至少300 mg，水杨酸持续5年，可降低10年后结直肠癌发病率（10-19年RR[0.60；95%CI，0.42-0.87]）
Sentence,s296,"In a randomized study of 635 patients with prior CRC (T1–T2 N0 M0) who had undergone curative resection, ASA intake at 325 mg/day was associated with a decrease in the adjusted RR of any recurrent adenoma as compared with the placebo group (0.65; 95% CI, 0.46–0.91) after a median duration of treatment of 31 months",一项随机研究共招募了曾患结直肠癌（T1-T2 N0 M0）并接受治愈性切除术的患者635例。每日服用水杨酸 325mg，与安慰剂组相比，中位服药时间31个月的患者，复发性腺瘤调整RR值降低（0.65；95%CI，0.46-0.91）
Sentence,s297,"One large cohort study (301,240 people with 3,894 colorectal cancer cases) found an association between daily or weekly nonaspirin (non–acetylsalicylic acid [non-ASA]) nonsteroidal anti-inflammatory drug (NSAID) use and reduced 10-year incidence of proximal and distal colon cancer, but not rectal cancer, with a hazard ratio (HR) of 0.67 (95% CI, 0.58–0.77) for daily use for colon cancer","一项大型队列研究（301,240人，其中3,894例结直肠癌患者）发现，每日或每周服用非阿司匹林（非乙酰水杨酸[非ASA]）的非甾体类抗炎药（NSAID）可降低近端和远端结肠癌10年发病率，但不影响直肠癌发病率；其中每日用药结肠癌的风险比（HR）为0.67（95%CI，0.58-0.77）"
Sentence,s298,"A case-control study of diet, genetic factors, and the adenoma-carcinoma sequence was conducted in Burgundy. It separated adenomas smaller than 10.0 mm in diameter from larger adenomas. A positive association between current alcohol intake and adenomas was found to be limited to the larger adenomas, suggesting that alcohol intake could act at the promotional phase of the adenoma-carcinoma sequence",一项旨在探讨饮食、遗传因素、腺瘤-癌之间相关性的病例对照研究在勃艮第进行，研究人员以腺瘤大小为10.0mm为临界值进行分层分析，发现饮酒与腺瘤的相关性仅出现在大腺瘤组，提示饮酒可能作用于腺瘤-癌变过程的促进阶段
