English_Term,Chinese_Term
Liver (Hepatocellular) Cancer Prevention,肝（肝细胞）癌的预防
Liver (Hepatocellular) Cancer Screening,肝（细胞）癌的筛查
Lobular Carcinoma In Situ,小叶原位癌
Local excision or simple polypectomy,局部切除术或单纯息肉切除术
Local radiation therapy,局部放疗
Locally (T3–T4) and/or regionally (N2–N3) advanced disease,局部（T3-T4）和（或）区域（N2-N3）晚期肿瘤
Locally Recurrent Disease,局部复发
Locally Recurrent Rectal Cancer,局部复发性直肠癌
Low Risk (Has All Listed Factors),低危（满足下列所有条件）
Low-grade glandular intraepithelial neoplasia,低级别腺上皮内瘤变
Low-grade typical carcinoid,低分级典型类癌
Lung Cancer (PDQ®): Prevention,肺癌（PDQ®）：预防
Lung Cancer (PDQ®): Screening,肺癌（PDQ®）：筛查​
Lung Cancer Screening,肺癌的筛查
Lung cancer in never smokers,从不吸烟者的肺癌
M0 = No distant metastasis,M0=无远处转移
M1 (contralateral lung),M1（对侧肺）
M1 (ipsilateral lung),M1（同侧肺）
M1 = Distant metastasis,M1=有远处转移
M1b = Distant metastasis (in extrathoracic organs),M1b=远处转移（胸腔外器官）
M1b designates distant metastasis,M1b指有远处转移
MAC is the modified Astler-Coller classification,MAC系统为改良Astler-Coller分期标准
MAPK kinase 1 (MAP2K1 or MEK1),MAPK激酶1（MAP2K1或MEK1）
MET oncogene encodes hepatocyte growth factor receptor,MET致癌基因编码肝细胞生长因子受体
Magnetic Resonance Imaging,​磁共振成像
Magnitude of Effect : No effect,​效应强度： 无效
"Magnitude of Effect: Increased risk, small magnitude",效应强度：风险增加，程度小
Magnitude of Effects,效应强度
Magnitude of Effects on Surrogate Endpoints,对间接终点的效应强度
Maintenance therapy following first-line chemotherapy,一线化疗后的维持治疗
Major inheritance susceptibility,主要遗传易感性
Male Breast Cancer (PDQ®): Treatment,男性乳腺癌（PDQ®）：治疗​​
Male breast cancer is rare,男性乳腺癌十分罕见
Mammography Description and Background,乳腺X线摄影的描述及背景
Mammography and CAD,乳腺X线摄影及CAD
"Mammography screening rates, however, were generally low",但研究中，使用乳腺X线摄影进行筛查的比例较低
Mammography—Variables Associated with Accuracy,乳腺X线摄影——影响准确性的变量
Mantle cell lymphoma,套细胞淋巴瘤
Many agents are active in esophageal cancer,多种药物可有效治疗食管癌
Median age 10.5 y,中位数：10.5岁
Median age 3.4 y,中位数：3.4岁
Medullary carcinomas may be similarly missed,髓样癌出于同样的原因也可能会被漏诊
Menetrier disease (giant hypertrophic gastritis),梅内特里耶病（肥厚性胃炎）
Metaplastic columnar epithelium,柱状上皮化生
Metaplastic intestinal epithelium with typical goblet cells,有典型杯状细胞的肠上皮化生
Metastases in 1–3 axillary lymph nodes,1-3枚腋窝淋巴结转移
Metastases in 1–3 regional lymph nodes,1-3枚区域淋巴结转移
Metastases in 2–3 regional lymph nodes,2-3枚区域淋巴结转移
Metastases in 4–6 regional lymph nodes,4-6枚区域淋巴结转移
Metastases in 4–9 axillary lymph nodes,4–9枚腋窝淋巴结转移
Metastases in 7–15 regional lymph nodes,7-15个区域淋巴结转移
Metastases in >1 organ/site or the peritoneum,远处转移分布于一个以上的器官/部位或腹膜转移
Metastases in ipsilateral infraclavicular lymph node(s),同侧锁骨下淋巴结转移
Metastases in ipsilateral supraclavicular lymph node(s),同侧锁骨上淋巴结转移
Metastases in ipsilateral supraclavicular lymph nodes,同侧锁骨上淋巴结转移
Metastases in ≥10 axillary lymph nodes,10枚及以上腋窝淋巴结转移
Metastases in ≥16 regional lymph nodes,≥16个区域淋巴结转移
Metastases in ≥4 regional lymph nodes,≥4枚区域淋巴结转移
Metastases in ≥7 regional lymph nodes,≥7枚区域淋巴结转移
Metastasis in 1 regional lymph node,1枚区域淋巴结转移
Metastatic Rectal Cancer,转移性直肠癌
Microscopic residual disease after resection,切除术后显微镜下残留病灶
Mode of Transmission,传播途径
Multiple tumors >5 cm,多发性肿瘤，大小超过5cm
N/A = not available,N/A=不可用
N0 = No regional lymph node metastasis,N0=无区域淋巴结转移
NSCLC is a heterogeneous aggregate of histologies,NSCLC具有多种不同的组织学类型
Naproxen seemed least harmful,相对而言，萘普生的风险最低
Natural History and Prognostic Factors,自然病程与预后因素
"Natural History, Incidence, and Mortality",自然病程、发病率及死亡率
Nausea and Vomiting,恶心与呕吐
Nd:YAG endoluminal tumor destruction or electrocoagulation,Nd：YAG激光腔内肿瘤毁坏术或电凝术
Nearly 92% of tests were rehydrated,近92%的检查为再水化检查
Nested case-control study all users,​巢式病例对照研究所有用户
Neuroendocrine tumors include the following:,神经内分泌肿瘤包括：
"New cases: 102,480 (colon cancer only)","新发病例数：102,480例（仅结肠癌）"
"New cases: 17,990","新发病例数：17,990例"
"New cases: 2,240","新发病例：2,240例"
"New cases: 21,600","新发病例数：21,600例"
"New cases: 224,210","新发病例数：224,210例"
"New cases: 235,030","​新发病例数：235,030"
"New cases: 40,340 (rectal cancer only)","​新发病例数：40,340（仅直肠癌）"
New chemotherapy regimens,新化疗方案
New drug regimens,新药方案
New fractionation schedules,新分割方案
Newer FOBTs: Nonrandomized Controlled Trial Evidence,新型FOBT：来自非随机对照试验的证据
No difference in OS was observed,两组OS无显著差异
No evidence of primary tumor,无原发肿瘤的证据
No regional lymph node metastases,无区域淋巴结转移
No regional lymph node metastasis,区域淋巴结无转移
No regional lymph node metastasis identified histologically,组织学上未见区域淋巴结转移
No virus confirmed,病毒不确定
Non-Small Cell Lung Cancer (PDQ®): Treatment,非小细胞肺癌（PDQ®）：治疗
None or tamoxifen,无，或他莫昔芬
Noninvasive breast cancer,非浸润性乳腺癌
Nonsteroidal anti-inflammatory drugs,非甾体类抗炎药
Nutrition in Cancer Care,癌症治疗中的营养治疗
OS was the primary outcome,试验的主要终点为OS
Observation after diagnostic biopsy,诊断性活检后观察
Occult NSCLC Treatment,隐匿性NSCLC的治疗
Occupational exposure to lung carcinogens,肺致癌原的职业暴露
Occupational exposures to lung carcinogens,肺致癌原的职业暴露
"Of these 11 patients, 9 survived",这11例患者中有9例存活
Okuda Staging System,Okuda分期系统
One Sv is equivalent to 200 mammograms,1 Sv的辐射剂量相当于进行200次乳腺X线摄影
Ongoing studies are evaluating these newer regimens,多项研究正在评估这些新化疗方案的有效性
Oral Complications of Chemotherapy and Head/Neck Radiation,化疗与头颈部放疗的口腔并发症
Orthotopic liver transplantation,原位肝移植
Other Treatment Approaches,其他治疗方法
Other environmental causes of lung cancer,导致肺癌的其他环境因素
Other prognostic factors include the following:,其他预后因素包括：
Other research on BSE is limited,其他关于BSE的研究十分有限
Other risk factors,​其他危险因素
Other risk factors and risk prediction models,其他危险因素和风险预测模型
Other systemic agents,其他全身用药
"Ovarian ablation, tamoxifen, and chemotherapy",卵巢去势、他莫昔芬和化疗
Overcoming nicotine dependence is often extremely difficult,戒除尼古丁依赖通常极为困难
Overview of Chemotherapy,治疗概述
Oxaliplatin with chemoradiation therapy,奥沙利铂联合放化疗
"PI3KCA, present in 2% of tumors",PI3KCA，见于2%的肿瘤
PIK3 catalytic protein alpha (PI3KCA),PIK3催化蛋白α（PI3KCA）
PRETEXT stage 1,PRETEXT 1期
PRETEXT stage 2,PRETEXT 2期
PRETEXT stage 3,PRETEXT 3期
PRETEXT stage 4,PRETEXT 4期
Palliative radiation therapy,姑息性放疗
"Palliative, endoscopic-placed stents to relieve obstruction",姑息性内镜下支架置入术缓解梗阻症状
Paraneoplastic cerebellar degeneration,副肿瘤性小脑变性
Pathologic Diagnosis of Breast Cancer,​乳腺癌的病理诊断
Pathological staging of NSCLC requires the following:,NSCLC的病理分期依据包括：
Patients receiving panitumumab experienced improved OS,帕尼单抗组的OS优于对照组
Patients were randomized in a 1:1 fashion,以1：1比例对患者随机分组
Patients with adenocarcinoma may benefit from pemetrexed,腺癌患者可能受益于培美曲塞
Perforation or obstruction of the bowel,是否存在肠穿孔或肠梗阻
Performance status (PS),身体状况评分（PS）
Personal history of breast cancer,既往乳腺癌病史
Pertuzumab plus trastuzumab,帕妥珠单抗联合曲妥珠单抗
Peutz-Jeghers syndrome: STK11 / LKB1 gene,​Peutz-Jeghers综合征：STK11/LKB1基因
Pharmacotherapy for smoking cessation,戒烟药物治疗
Polypectomy for select T1 cancers,对T1期肿瘤行选择性息肉切除术
Positioning of the woman is important,女性在检查中的体位亦十分重要
Positive axillary nodes,淋巴结转移阳性
Positivity Rate (%),阳性率（%）
Post-breast conservation surgery,保乳术后
Postmenopausal female hormone supplements,绝经后补充雌激素
"Postmenopausal, ER-negative or PR-negative",绝经后，ER阴性或PR阴性
"Postmenopausal, ER-positive or PR-positive",绝经后，ER阳性或PR阳性
Postoperative adjuvant chemotherapy,术后辅助化疗
Postsurgical Staging for Childhood Liver Cancer,儿童肝癌的术后分期
Posttreatment yp M classification,治疗后yp M分期
"Premenopausal, ER-negative or PR-negative",绝经前，ER阴性或PR阴性
"Premenopausal, ER-positive or PR-positive",绝经前，ER阳性或PR阳性
Preoperative Chemoradiation Therapy,术前同步放化疗
Preoperative Chemotherapy Alone,术前单纯化疗
Preoperative chemotherapy may also provide survival benefit,术前化疗也可能具有生存获益
Preoperative neoadjuvant chemotherapy,术前新辅助化疗
Presence of multifocal hepatic disease,是否存在多灶性肝病
Presence of pulmonary symptoms,有肺部症状
Presence or absence of distant metastases,是否存在远处转移
Presurgical Staging for Hepatoblastoma and Hepatocellular Carcinoma,肝母细胞瘤和肝细胞癌的术前分期
Preventing occupational exposure to lung carcinogens,预防肺癌致癌原的职业暴露
Prevention of Hepatitis B,乙肝的预防
Prior radiation therapy,既往放疗史
Prognostic and Predictive Factors,预后和预测因素
Progressive familial intrahepatic cholestasis,进行性家族性肝内胆汁淤积症
"Proliferative capacity of the tumor (e.g., Ki67)",肿瘤增殖能力（例如Ki67水平）
Prone patient positioning,患者俯卧位
Prophylactic cranial irradiation,预防性脑照射
Prophylactic cranial irradiation (PCI),预防性脑照射（PCI）
Prophylactic mastectomy: Benefits,预防性乳房切除术：获益
Prophylactic mastectomy: Harms,预防性乳房切除术：危害
Prophylactic oophorectomy or ovarian ablation: Benefits,预防性卵巢切除术或卵巢切除：获益
Prophylactic oophorectomy or ovarian ablation: Harms,预防性卵巢切除术或卵巢去势：危害
Pure fetal histology hepatoblastoma,单纯胎儿型肝母细胞瘤
Pylori infection eradication,幽门螺杆菌感染的根治
P—Main portal or portal bifurcation vein,P-主门静脉或门静脉分支静脉
RCT = randomized controlled trial,RCT=随机对照试验
RCTs have been consistent,RCT研究间结论一致
Radiation therapy (for palliation),放疗（缓解症状）
Radiation therapy alone,单独放疗
Radiation therapy and surgery,放疗与手术
Radiation therapy to the breast or chest,乳腺或胸部放疗
Radiofrequency Ablation in Dysplastic Barrett Esophagus,对有不典型增生的Barrett食管行射频消融术
Randomization: Cluster by birth date,随机分组：根据出生日期分组
Randomization: Individual volunteer (see NBSS-1),随机分组：个体随机分组（见前述NBSS-1）
Randomized controlled studies,随机对照研究
Randomized controlled trials,随机对照临床试验
Rationale for Screening,筛查的合理性
Rectal Cancer (PDQ®): Treatment,直肠癌（PDQ®）：治疗
Recurrent Esophageal Cancer,复发性食管癌
Recurrent Hepatocellular Carcinoma,肝细胞癌复发
Recurrent NSCLC Treatment,NSCLC复发的治疗
Recurrent Small Cell Lung Cancer Treatment,小细胞肺癌复发的治疗
Recurrent local-regional breast cancer,局部-区域复发性乳腺癌
Reducing or eliminating exposure to radon,减少或消除氡的暴露
Regional lymph node metastasis,有区域淋巴结转移
Regional lymph node(s) cannot be assessed,区域淋巴结无法评估
Regional treatment (radiation therapy),区域治疗（放疗）
Relative Mortality Reduction,相对死亡率降幅
"Resectable tumor invading pleura, pericardium, or diaphragm",可切除肿瘤侵及胸膜、心包或膈肌
Resected or resectable disease,已切除或可切除肿瘤
Resection of isolated pulmonary or ovarian metastases,孤立性肺转移灶或卵巢转移灶切除术
Results are expected in 2016,预期将在2016年公布结果
Results have been inconsistent,研究结果并不一致
Results of case-control studies have been mixed,一些病例对照研究的结果并不一致
Results were summarized in two systematic reviews,两篇系统性综述总结了这些试验的结果
Reviewers and Updates,​审核人与更新
Risk Factors for Breast Cancer,​乳腺癌的危险因素
Risk in Next 10 Years,未来10年内的风险
Risk increases with age,风险随年龄增长而增加
Rofecoxib 25 mg/qd,罗非考昔25 mg/qd
Rofecoxib <25 mg/qd; rofecoxib >25 mg/qd,罗非考昔＜25 mg/qd；罗非考昔＞25 mg/qd
Routine blood counts and serum chemistries,血常规与生化
Ruvalcaba–Myhre–Smith syndrome: PTEN gene,​Ruvalcaba-Myher-Smith综合征：PTEN基因
"Sample size: 21,088 study and 21,195 control","样本量：试验组和对照组分别为21,088例和21,195例受试者"
"Sample size: 23,226 study and 21,904 control","样本量：试验组和对照组分别有23,226例和21,904例受试者"
Screening With Mammography,乳腺X线摄影筛查
Screening by chest x-ray and/or sputum cytology,胸部X线检查和（或）痰细胞学
Screening by low-dose helical computed tomography,低剂量螺旋CT筛查
Secondhand tobacco smoke,二手烟
Selective estrogen receptor modulators (SERMs),选择性雌激素受体调节剂（SERM）
Selective estrogen receptor modulators (SERMs): Benefits,选择性雌激素受体调节剂（SERM）：获益
Selective estrogen receptor modulators (SERMs): Harms,选择性雌激素受体调节剂（SERM）：危害
Sentinel node biopsy,前哨淋巴结活检
Sequential or concurrent chemotherapy and radiation therapy,序贯或同步放化疗
Seventeen studies met inclusion criteria,共有17项研究满足入选标准
Seventh Edition T/M,第7版T/M
Several CAD systems are in use,目前已有部分CAD系统正在应用之中
Several studies have tested different chemotherapy regimens,另几项研究比较了不同化疗方案的效果
Sexuality and Reproductive Issues,性功能与生殖系统问题
Shorter hypofractionation schemes achieve comparable results,短暂低剂量分次模式亦可获得类似疗效
Signet ring adenocarcinoma,印戒细胞腺癌
Signet-ring cell carcinoma,印戒细胞癌
Similar benefit may be achieved with erlotinib,厄洛替尼治疗后可达到类似获益
"Single-read first three rounds, then double-read",前三次筛查仅单次阅片，之后为双重阅片
Sites of tumor involvement,肿瘤侵犯部位
Sixth Edition T/M Descriptor (cm),第6版T/M定义（cm）
"Sixty-five trials (13,601 patients) were identified","共检索到65项临床试验（13,601例患者）"
Size of the primary tumor,原发肿瘤的大小
Skills training/problem solving (cessation/abstinence techniques),技能培训/问题解决（戒烟/戒断方法）
Slightly more than 20% had received chemotherapy,超过20%的患者已接受化疗
Small Cell Lung Cancer (PDQ®): Treatment,小细胞肺癌（PDQ®）：治疗
Small cell undifferentiated hepatoblastoma,小细胞未分化型肝母细胞瘤
Smoke-free workplace legislation,无烟工作环境立法
Smoking avoidance and cessation,回避吸烟与戒烟
Smoking cessation guidelines,戒烟指南
Smoking in Cancer Care,吸烟与癌症治疗
Smoking-related lung carcinogenesis is a multistep process,吸烟相关肺癌变是一个多步骤过程
Solid adenocarcinoma with mucin,实性腺癌伴黏液
Solitary tumor without vascular invasion,实体肿瘤，无血管浸润
Special considerations for surgical resection,手术切除的特殊考虑因素
Specificity and false-positive rate,特异性和假阳性率
Specificity declined from 97.8% to 96%,特异性从97.8%降低到96%
Specificity was 86% and PPV was 23%,特异性为86%，PPV为23%
Spindle cell carcinoma,梭形细胞癌
"Sporadic adenoma prevention trial (N = 2,035)","散发性腺瘤预防试验（N=2,035）"
Squamous Cell Cancer,鳞状细胞癌
Squamous Cell Carcinoma,食管鳞状细胞癌
Squamous cell carcinoma,鳞状细胞癌
Squamous cell carcinoma (25% of lung cancers),鳞状细胞癌（25%的肺癌）
Stage ( TNM Staging Criteria ),分期（TNM分期标准）
Stage 0 Colon Cancer,0期结肠癌
Stage 0 Colon Cancer Treatment,0期结肠癌的治疗
Stage 0 Esophageal Cancer,0期食管癌
Stage 0 Gastric Cancer,0期胃癌
Stage 0 NSCLC,0期NSCLC
Stage 0 NSCLC Treatment,0期NSCLC的治疗
Stage 0 Rectal Cancer,0期直肠癌
Stage 0 colon cancer,0期结肠癌
Stage I Colon Cancer,I期结肠癌
Stage I Colon Cancer Treatment,I期结肠癌的治疗
Stage I Esophageal Cancer,I期食管癌
Stage I Gastric Cancer,I期胃癌
Stage I Rectal Cancer,I期直肠癌
Stage II Colon Cancer,II期结肠癌
Stage II Colon Cancer Treatment,II期结肠癌的治疗
Stage II Esophageal Cancer,II期食管癌
Stage II Gastric Cancer,II期胃癌
Stage II Rectal Cancer,II期直肠癌
Stage III Colon Cancer,III期结肠癌
Stage III Colon Cancer Treatment,III期结肠癌的治疗
Stage III Esophageal Cancer,III期食管癌
Stage III Gastric Cancer,III期胃癌
Stage III Rectal Cancer,III期直肠癌
Stage III colon cancer,III期结肠癌
Stage IIIA NSCLC,IIIA期NSCLC
Stage IIIA NSCLC Treatment,IIIA期NSCLC的治疗
Stage IIIB NSCLC,IIIB期NSCLC
Stage IIIB NSCLC Treatment,IIIB期NSCLC的治疗
Stage IV (distant metastases),IV期（远处转移）
Stage IV Esophageal Cancer,IV期食管癌
Stage IV NSCLC,IV期NSCLC
Stage IV NSCLC Treatment,IV期NSCLC的治疗
Stage IV and Recurrent Colon Cancer Treatment,IV期结肠癌与复发性结肠癌的治疗
Stage IV and Recurrent Gastric Cancer,IV期胃癌与复发胃癌
Stage IV and Recurrent Rectal Cancer,IV期与复发性直肠癌
Stage IV and metastatic disease,IV期与转移性乳腺癌
Stage IV colon cancer,IV期结肠癌
"Stage IV, Recurrent, and Metastatic Breast Cancer",IV期、复发性与转移性乳腺癌
Stage Information for Adult Primary Liver Cancer,成人原发性肝癌的分期
Stage Information for Breast Cancer,乳腺癌分期
Stage Information for Colon Cancer,结肠癌的分期信息
Stage Information for Esophageal Cancer,食管癌的分期信息
Stage Information for Gastric Cancer,胃癌分期信息
Stage Information for NSCLC,NSCLC的分期
Stage Information for Rectal Cancer,直肠癌的分期信息
Stage Information for Small Cell Lung Cancer,分期评估
Stages I and II,I期与II期肿瘤
Stages IA and IB NSCLC,IA与IB期NSCLC
Stages IA and IB NSCLC Treatment,IA与IB期NSCLC的治疗
Stages IIA and IIB NSCLC,IIA与IIB期NSCLC
Stages IIA and IIB NSCLC Treatment,IIA与IIB期NSCLC的治疗
Stages III and IV are usually fatal,III期与IV期肝细胞癌通常致死
Standard Treatment Options,标准治疗方案
Standard Treatment Options for Occult NSCLC,隐匿性NSCLC的标准治疗选择
Standard Treatment Options for Recurrent NSCLC,NSCLC复发的标准治疗选择
Standard Treatment Options for Stage 0 NSCLC,0期NSCLC的标准治疗选择
Standard Treatment Options for Stage IIIB NSCLC,IIIB期NSCLC的标准治疗选择
Standard Treatment Options for Stage IV NSCLC,IV期NSCLC的标准治疗选择
Standard staging procedures include the following:,标准分期程序包括：
Stereotactic radiation surgery (for highly selected patients),立体定向放疗（适用于经详细选择的患者）
Stomach (Gastric) Cancer (PDQ®): Prevention,胃癌（PDQ®）：预防
Stomach (Gastric) Cancer (PDQ®): Screening,胃癌（PDQ®）：筛查​
Stomach (Gastric) Cancer Screening,胃癌筛查
Stool DNA Mutation Tests,便DNA突变检测
"Stroke RR, 1.06 (0.83–1.36)",卒中RR，1.06（0.83-1.36）
Studies in progress,正在进展中的研究
Study Design : Ecologic and descriptive studies,研究设计：生态学与描述性研究
Study Design : Randomized controlled trials,研究设计：随机对照试验
Study Design : Two RCTs,​研究设计： 两项RCT
"Study Design : Two RCTs, cohort studies",​研究设计：两项RCT及队列研究
Study Design: Case-control and cohort studies,研究设计：病例对照与队列研究
"Study Design: Case-control, cohort, and observational studies",研究设计：观察、病例对照与队列研究
Study Design: Cohort and RCTs,研究设计：队列与RCT
Study Design: Cohort and case-control studies,研究设计：队列研究与病例对照研究
Study Design: Cohort studies,研究设计：队列研究
Study Design: Cohort studies and meta-analysis,研究设计：队列研究与荟萃分析
Study Design: Convenience sample,研究设计：便利样本
Study Design: Evidence from RCTs,研究设计：来自RCT的证据
Study Design: Evidence from retrospective cohort studies,研究设计：来自回顾性队列研究的证据
Study Design: Evidence obtained from large databases,研究设计：来自大型数据库的证据
Study Design: Extended follow-up of four RCTs,研究设计：4项RCT的延期随访
Study Design: Large cohort studies,研究设计：大型队列研究
Study Design: Meta-analyses of RCTs,研究设计：RCT荟萃分析
Study Design: Observational study,研究设计：观察性研究
"Study Design: Observational, case-control, and cohort studies",研究设计：观察、病例对照与队列研究
Study Design: One RCT,研究设计：一项RCT
Study Design: One randomized controlled trial,研究设计：一项随机对照试验
Study Design: One-hundred six observational studies,研究设计： 106项观察性研究
Study Design: Prospective observational and case-control studies,研究设计：前瞻性观察研究和病例对照研究
Study Design: RCT and cohort studies,研究设计：RCT与队列研究
Study Design: RCTs,研究设计：RCT
Study Design: Randomized controlled trials,研究设计：随机对照临床试验
Study design : Descriptive population-based,研究设计： 基于人群的描述性研究
Such results have not been observed,然而这样的结果并未出现
Summary of RCTs,RCT总结
Superior sulcus tumors,上沟瘤
Superior vena cava syndrome,上腔静脉综合征
Surgery alone (for selected patients),单独手术（适用于部分患者）
Surgery and chemotherapy,手术与化疗
Surgery and radiation therapy,手术与放疗
Surgery followed by chemotherapy or chemoradiation therapy,手术加化疗或放化疗
Surgery followed by chemotherapy or chemoradiotherapy,手术后化疗或放化疗
Surgical resection for metastatic disease,转移灶的手术切除
Surgical resection of locally recurrent cancer,手术切除局部复发性结肠癌
Surgical resection of the primary tumor,原发肿瘤手术切除
Survival was 100% with no chemotherapy given,无化疗的情况下生存率达100%
Sweats and Hot Flashes,出汗与潮热
Systemic chemotherapy (see below),全身化疗（详见下文）
"Systemic treatments (chemotherapy, immunotherapy, and targeted agents)",全身治疗（化疗、免疫治疗与靶向药物）
T0 = No evidence of primary tumor,T0=无原发性肿瘤证据
T1 = Tumor invades submucosa,T1 = 肿瘤侵犯粘膜下层
T1 includes T1mi,T1包括T1mi
T2 = Tumor invades muscularis propria,T2 = 肿瘤侵犯固有肌层
T4 (pleural effusion),T4（胸腔积液）
T4 (same lobe nodules),T4（同一肺叶结节）
TX = Primary tumor cannot be assessed,TX = 原发肿瘤无法评估
Table 1. Definitions of TNM Stage 0,表1.TNM 0期的定义
Table 1. Primary Tumor,表1.原发肿瘤
Table 1. Primary Tumor (T),表1. 原发肿瘤（T）
Table 1. Risk of Breast Cancer Diagnosis,表1. 乳腺癌的诊断风险
Table 10. Definitions of TNM Stage IV,表10. TNM IV期的定义
Table 11. Standard Treatment Options for NSCLC,表11. NSCLC的标准治疗选择
Table 2. Definitions of TNM Occult Carcinoma,表2. TNM隐匿性癌的分期定义
Table 2. Definitions of TNM Stage I,表2.TNM I期的定义
Table 2. Regional Lymph Nodes (N),表2. 区域淋巴结（N）
Table 3. Definitions of TNM Stage 0,表3. TNM 0期的定义
Table 3. Definitions of TNM Stage II,表3.TNM II期的定义
Table 3. Distant Metastasis,表3. 远处转移
Table 3. Distant Metastasis (M),表3. 远处转移（M）
Table 3. Likely Etiology of Hepatocellular Carcinoma,表3. 肝细胞癌病因
Table 4. Anatomic Stage/Prognostic Groups,表 4. 解剖分期/预后分组
Table 4. Definitions of TNM Stage IA,表4. TNM IA期的定义
Table 4. Definitions of TNM Stage III,表4.TNM III期的定义
Table 5. Definitions of TNM Stage IB,表5. TNM IB期的定义
Table 5. Definitions of TNM Stage IV,表5.TNM IV期的定义
Table 6. Definitions of TNM Stage IIA,表6. TNM IIA期的定义
Table 7. Definitions of TNM Stage IIB,表7. TNM IIB期的定义
Table 8. Definitions of TNM Stage IIIA,表8. TNM IIIA期的定义
Table 9. Definitions of TNM Stage IIIB,表9. TNM IIIB期的定义
Tamoxifen (under clinical evaluation),他莫昔芬（在临床评估阶段）
Tamoxifen and chemotherapy,他莫昔芬和化疗
Tamoxifen for estrogen receptor–positive patients,雌激素受体阳性患者可接受他莫昔芬治疗
Tamoxifen toxic effects,他莫昔芬的毒性作用
The CI was near 1.0,CI接近1.0
"The PPVs were 14% and 73%, respectively",PPV分别为14%和73%
The Role of Oxaliplatin for Localized Disease,奥沙利铂对局限病变的作用
The Swedish meta-analysis resolved these questions appropriately,瑞典荟萃分析适当地解决了这些问题
The analysis did not include fiber supplements,该分析不包括补充纤维素
The biology of carcinogenesis,致癌的生物学机制
The chemotherapy was well tolerated,患儿对新辅助化疗的耐受性较好
The comparison group was not actively followed,对照组无积极随访
The epidemiology of these types varies markedly,不同类型食管恶性肿瘤的流行病学特征有显著差异
The etiology of HCC is likely multifactorial,HCC可能由多因素引起
The most common histologies include the following:,最常见的组织学类型包括下列：
The optimal surgical procedure is controversial,目前对于优先选用何种手术方式仍有争议
The overall 5-year survival rate is 64%,结直肠癌的5年生存率为64%
The patient's performance status (PS),患者体能状况（PS）
The presence or absence of distant metastases,是否有远处转移
The presence or absence of nodal involvement,是否累及淋巴结
The primary endpoint was CRC-specific mortality,主要终点为CRC相关死亡率
The primary endpoint was PFS,主要终点为PFS
The primary endpoint was lung cancer incidence,主要终点为肺癌发病率
The results varied in different publications,不同文献报道的结果不同
The risk declines with smoking cessation,戒烟后食管鳞癌发生风险降低
The stage of the disease,肿瘤分期
The study reported the following,研究结果如下
The use of high-energy radiation machines,使用高能量的放疗仪器
The use of multiple pelvic fields,使用多盆腔野放疗
The value of PORT has been assessed,有研究评估了术后（辅助）放疗（PORT）的意义
There are positive lymph nodes,淋巴结阳性
There was no effect on all-cause mortality,但筛查不影响全因死亡率
These groups include the following:,相关遗传性疾病包括：
These studies have yielded conflicting results,这些研究结果并不一致
This is a group of rare tumors,这是一组罕见肿瘤
Time-to-treatment progression (TTP) was the primary endpoint,选择疾病进展时间（TTP）为主要终点
Timing of Primary and Adjuvant Therapy,主要治疗和辅助治疗的时机
Timing of surgery,手术时机
Tis = Carcinoma in situ,Tis=原位癌
To assess the efficacy of initial therapy,评估初步治疗的效果
To be determined,尚待研究
To detect new or metachronous malignancies,检测是否有新发肿瘤或异时性癌
"Tobacco, Alcohol, and Dietary Factors",吸烟，饮酒与饮食因素
Topotecan is standard chemotherapy for recurrent SCLC,拓扑替康是SCLC复发后的标准化疗
Total mastectomy with or without tamoxifen,乳房单纯切除术，加用或不加用他莫昔芬
"Tracheal, esophageal, or bronchial compression",气管、食管或支气管压迫
Transitional liver cell tumor,过渡型肝细胞肿瘤
Trastuzumab (under clinical evaluation),曲妥珠单抗（在临床评估阶段）
Treatment Option Overview,治疗方案概述
Treatment Option Overview for Colon Cancer,结肠癌治疗选择概述
Treatment Option Overview for NSCLC,NSCLC的治疗方法概述
Treatment Options Under Clinical Evaluation,处于临床评估阶段的治疗方法
Treatment Options for Male Breast Cancer,男性乳腺癌的治疗选择
Treatment Options for Patients With DCIS,DCIS患者的治疗方案
Treatment Options for Patients With LCIS,LCIS患者的治疗方案
Treatment Options for Postsurgically Staged Stage IV,术后分期为IV期患者的治疗选择
Treatment Options for Stage III,III期肝母细胞瘤的治疗选择
Treatment Options for Stage IV,IV期肝母细胞瘤的治疗选择
Treatment Options for Stages I and II,I期与II期肝母细胞瘤的治疗选择
Treatment by stage--legacy,依据分期的治疗--legacy
Treatment of Hepatoblastoma,肝母细胞瘤的治疗
Treatment of Hepatocellular Carcinoma,肝细胞癌的治疗
Treatment of Infantile Choriocarcinoma of the Liver,婴儿肝绒毛膜癌的治疗
Treatment of Liver Metastasis,肝转移治疗
Treatment of Recurrent Childhood Liver Cancer,儿童肝癌复发的治疗
Treatment of brain metastases,脑转移的治疗
Treatment of second primary tumor,第二原发肿瘤的治疗
Treatment of these cancers would constitute overtreatment,对这些肿瘤进行治疗将会导致过度治疗
Treatment option overview--legacy,治疗选择概述--后遗效应
Treatment options by cell type,不同细胞类型的治疗选择
Treatment options by stage,根据分期的治疗选择
Treatment options for older patients,老年患者的治疗选择
Treatment options for recurrent cancer,癌症复发的治疗方法
Triple-Negative Breast Cancer,三阴性乳腺癌
"Trisomy 18, other trisomies",18三体综合征或其他三体综合征
